# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.fastMisses,1692778003483000000,1692778022948000000,971111
FileNameCache.queries,1692778003483000000,1692778022948000000,7402657
MappedFileStorage.totalBytesMapped,1692778003483000000,1692778022948000000,71303168
FileNameCache.totalMisses,1692778003483000000,1692778022948000000,0
MappedFileStorage.storages,1692778003483000000,1692778022948000000,2
MappedFileStorage.totalPagesMapped,1692778003483000000,1692778022948000000,2
FilePageCache.maxRegisteredFiles,1692778003483000000,1692778022948000000,775
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1692778003483000000,1692778022948000000,325091328
StreamlinedBlobStorage.recordsAllocated,1692778003483000000,1692778022948000000,24560
StreamlinedBlobStorage.recordsDeleted,1692778003483000000,1692778022948000000,2069
FilePageCache.disposedBuffers,1692778003483000000,1692778022948000000,5
FilePageCache.pageLoadsAboveSizeThreshold,1692778003483000000,1692778022948000000,0
DirectByteBufferAllocator.disposed,1692778003483000000,1692778022948000000,0
FilePageCache.pageFastCacheHits,1692778003483000000,1692778022948000000,332129
StorageLockContext.competingThreads.max,1692778003483000000,1692778022948000000,0
DirectByteBufferAllocator.reclaimed,1692778003483000000,1692778022948000000,5
DirectByteBufferAllocator.hits,1692778003483000000,1692778022948000000,5
StreamlinedBlobStorage.recordsRelocated,1692778003483000000,1692778022948000000,0
FilePageCache.pageHits,1692778003483000000,1692778022948000000,0
StorageLockContext.competingThreads.avg,1692778003483000000,1692778022948000000,0.0
DirectByteBufferAllocator.misses,1692778003483000000,1692778022948000000,305
FilePageCache.totalPageDisposalsUs,1692778003483000000,1692778022948000000,775
FilePageCache.capacityInBytes,1692778003483000000,1692778022948000000,629145600
FilePageCache.totalPageLoadsUs,1692778003483000000,1692778022948000000,235923
FilePageCache.uncachedFileAccess,1692778003483000000,1692778022948000000,363
FilePageCache.maxCacheSizeInBytes,1692778003483000000,1692778022948000000,325091328
FilePageCache.pageLoads,1692778003483000000,1692778022948000000,310
StorageLockContext.competingThreads.90P,1692778003483000000,1692778022948000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1692778003483000000,1692778022948000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1692778003483000000,1692778022948000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1692778003483000000,1692778022948000000,249312
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1692778003483000000,1692778022948000000,1616640
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1692778003483000000,1692778022948000000,47
workspaceModel.mutableEntityStorage.modify.entity.ms,1692778003483000000,1692778022948000000,0
jps.global.get.library.ms,1692778003483000000,1692778022948000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1692778003483000000,1692778022948000000,0
workspaceModel.moduleBridge.before.changed.ms,1692778003483000000,1692778022948000000,31
workspaceModel.moduleManagerBridge.get.modules.ms,1692778003483000000,1692778022948000000,1
workspaceModel.mutableEntityStorage.add.diff.ms,1692778003483000000,1692778022948000000,3463
jps.library.entities.serializer.save.entities.ms,1692778003483000000,1692778022948000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1692778003483000000,1692778022948000000,3377
workspaceModel.save.cache.to.file.ms,1692778003483000000,1692778022948000000,1239
workspaceModel.mutableEntityStorage.resolve.ms,1692778003483000000,1692778022948000000,43
workspaceModel.moduleManagerBridge.create.module.instance.ms,1692778003483000000,1692778022948000000,0
jps.storage.jps.conf.reader.load.component.ms,1692778003483000000,1692778022948000000,18008
workspaceModel.orphan.listener.update.ms,1692778003483000000,1692778022948000000,3
jps.global.handle.changed.events.ms,1692778003483000000,1692778022948000000,0
jps.module.iml.entities.serializer.load.entities.ms,1692778003483000000,1692778022948000000,9690
jps.facet.change.listener.init.bridge.ms,1692778003483000000,1692778022948000000,11
workspaceModel.moduleBridgeLoader.loading.modules.ms,1692778003483000000,1692778022948000000,13457
jps.facet.change.listener.process.change.events.ms,1692778003483000000,1692778022948000000,107
jps.module.iml.entities.serializer.save.entities.ms,1692778003483000000,1692778022948000000,0
jps.global.handle.before.change.events.ms,1692778003483000000,1692778022948000000,0
workspaceModel.global.updates.count,1692778003483000000,1692778022948000000,0
jps.project.serializers.load.ms,1692778003483000000,1692778022948000000,5296
jps.artifact.entities.serializer.load.entities.ms,1692778003483000000,1692778022948000000,9389
workspaceModel.moduleManagerBridge.load.module.ms,1692778003483000000,1692778022948000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1692778003483000000,1692778022948000000,2
workspaceModel.load.cache.from.file.ms,1692778003483000000,1692778022948000000,0
jps.library.entities.serializer.load.entities.ms,1692778003483000000,1692778022948000000,7159
workspaceModel.moduleBridge.update.option.ms,1692778003483000000,1692778022948000000,0
workspaceModel.global.updates.ms,1692778003483000000,1692778022948000000,0
workspaceModel.global.apply.state.to.project.ms,1692778003483000000,1692778022948000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1692778003483000000,1692778022948000000,16
workspaceModel.mutableEntityStorage.collect.changes.ms,1692778003483000000,1692778022948000000,460
jps.facet.change.listener.before.change.events.ms,1692778003483000000,1692778022948000000,98
jps.save.global.entities.ms,1692778003483000000,1692778022948000000,0
jps.global.get.library.by.name.ms,1692778003483000000,1692778022948000000,0
jps.app.storage.content.reader.load.component.ms,1692778003483000000,1692778022948000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1692778003483000000,1692778022948000000,1249
workspaceModel.moduleManagerBridge.newModule.ms,1692778003483000000,1692778022948000000,0
jps.global.initialize.library.bridges.ms,1692778003483000000,1692778022948000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1692778003483000000,1692778022948000000,22
workspaceModel.mutableEntityStorage.put.entity.ms,1692778003483000000,1692778022948000000,3956
workspaceModel.mutableEntityStorage.has.same.entities.ms,1692778003483000000,1692778022948000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1692778003483000000,1692778022948000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1692778003483000000,1692778022948000000,0
jps.global.get.libraries.ms,1692778003483000000,1692778022948000000,1
jps.global.initialize.library.bridges.after.loading.ms,1692778003483000000,1692778022948000000,0
jps.project.serializers.save.ms,1692778003483000000,1692778022948000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1692778003483000000,1692778022948000000,14189
jps.apply.loaded.storage.ms,1692778003483000000,1692778022948000000,2397
jps.save.changed.project.entities.ms,1692778003483000000,1692778022948000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1692778003483000000,1692778022948000000,282
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1692778003483000000,1692778022948000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1692778003483000000,1692778022948000000,0
workspaceModel.sync.entities.ms,1692778003483000000,1692778022948000000,0
